task,metric,model,k,prompt,delta,ci_low,ci_high,n_pairs,p_value,p_adj,significant,delta_baseline,interaction
reproduction,dataflow_sim,gemma-2-9b,5,P5a,0.010069974947342497,-0.00026135156614200697,0.021558930795462325,404,0.0702,0.5385000000000001,False,0.002395100343114759,0.007674874604227737
reproduction,dataflow_sim,gemma-2-9b,5,P4b,0.003837088784510106,-0.01062574802186416,0.0182397192334818,404,0.5989,0.9067500000000001,False,0.002395100343114759,0.0014419884413953469
reproduction,dataflow_sim,gemma-2-9b,5,P1a,0.002395100343114759,-0.010431925455381406,0.014594011316797018,404,0.7042,0.9067500000000001,False,0.002395100343114759,0.0
reproduction,dataflow_sim,gemma-2-9b,5,P1b,-0.00017285245698974336,-0.011588964534972874,0.011803255038357116,404,0.9772,0.9772,False,0.002395100343114759,-0.0025679528001045023
reproduction,lexical_f1,gemma-2-2b,0,P5a,0.0035305504112768463,-0.010942851098782779,0.017715533577951977,404,0.6332,0.9067500000000001,False,-0.007288352913565648,0.010818903324842494
reproduction,lexical_f1,gemma-2-2b,0,P4b,0.0017243017422517478,-0.01205149508135081,0.015404917937271837,404,0.8086,0.913,False,-0.007288352913565648,0.009012654655817395
reproduction,lexical_f1,gemma-2-2b,0,P1b,-0.0044735179659650065,-0.018668712682795463,0.009957505147596437,404,0.5403,0.9067500000000001,False,-0.007288352913565648,0.0028148349476006416
reproduction,lexical_f1,gemma-2-2b,0,P1a,-0.007288352913565648,-0.02004559161880641,0.005719249262036012,404,0.2589,0.7144615384615385,False,-0.007288352913565648,0.0
reproduction,lexical_f1,gemma-2-2b,5,P1b,0.011626912337869024,-0.004648753026174061,0.027794691786775596,404,0.1623,0.6683333333333334,False,0.0017687934029334675,0.009858118934935557
reproduction,lexical_f1,gemma-2-2b,5,P1a,0.0017687934029334675,-0.0112416090993053,0.014595312052070994,404,0.7814,0.913,False,0.0017687934029334675,0.0
reproduction,lexical_f1,gemma-2-2b,5,P5a,0.0010425158410999138,-0.01216341793113368,0.014568554508318805,404,0.8813,0.9403728813559322,False,0.0017687934029334675,-0.0007262775618335536
reproduction,lexical_f1,gemma-2-2b,5,P4b,-0.003098697497565111,-0.016115260666817257,0.01019171094944025,404,0.6511,0.9067500000000001,False,0.0017687934029334675,-0.004867490900498579
reproduction,lexical_f1,gemma-2-9b,0,P4b,0.00850294237726731,-0.007989750692684424,0.024859028745579277,404,0.3096,0.7144615384615385,False,-0.0029777485238473385,0.01148069090111465
reproduction,lexical_f1,gemma-2-9b,0,P5a,0.005062003004024394,-0.011506420109382862,0.02145784262613891,404,0.5416,0.9067500000000001,False,-0.0029777485238473385,0.008039751527871734
reproduction,lexical_f1,gemma-2-9b,0,P1a,-0.0029777485238473385,-0.016739148713290738,0.010848794458613132,404,0.6691,0.9067500000000001,False,-0.0029777485238473385,0.0
